Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
110000,0.9208097,0.0,-0.30177537,0.4191206,0.0049750144,0.10788177,0.0002921426,0.31238383,0.33047137,-0.7696499340876471,228.125,-0.8080599025273935,0.7775008890491265
120000,0.91215146,0.0,-0.28082332,0.39278334,0.007125536,0.09575142,0.00029142588,0.31536043,0.2848903,-0.7556110467994586,228.8125,-0.7196597966055075,0.7085631983354688
130000,0.9381268,0.0,-0.28944063,0.36439297,0.004066797,0.103228666,0.0002906414,0.26779294,0.23264769,-0.7954126304747271,232.85714285714286,-0.795412771758579,0.6494052782654762
140000,0.8391011,0.0,-0.28709313,0.32800087,0.008782831,0.10124187,0.000289872,0.27315575,0.21775624,-0.6521036442162262,216.86666666666667,-0.6520445121659173,0.6476162003146277
150000,0.6196828,0.0,-0.30764273,0.29232958,0.0031376947,0.095087446,0.0002891561,0.20505622,0.15521476,-0.799471479971189,228.6829268292683,-0.8427317811221611,0.5651754069073898
160000,0.74184996,0.0,-0.28740376,0.21674159,0.0044959798,0.096501626,0.00028835284,0.2025795,0.12712917,-0.8431036376290851,236.8,-0.8079565996709077,0.4362603430433766
170000,0.9049932,0.0,-0.27012163,0.23079516,0.004258632,0.0970828,0.0002876235,0.2342864,0.1618885,-0.7301348568594438,222.52380952380952,-0.7017281369159096,0.5055781826376915
180000,0.8185784,0.0,-0.28928894,0.26993725,0.0048994413,0.09921342,0.00028688175,0.27027154,0.18754335,-0.7851628959799807,233.4,-0.8027007543310827,0.6535699257665143
190000,0.7727795,0.0,-0.3165169,0.2537193,0.004377247,0.10126972,0.00028614444,0.24392512,0.14471951,-0.8203952842781883,232.4418604651163,-0.816119120944114,0.5916004319276128
200000,0.912381,0.0,-0.3433449,0.26907897,0.0063773743,0.10180477,0.0002854099,0.26117298,0.17771916,-0.6949742954427328,223.3846153846154,-0.6950428019731473,0.5888160966718808
210000,0.9708698,0.0,-0.32749113,0.30197862,0.007371351,0.09658132,0.00028465345,0.28387117,0.17940028,-0.6526598008111956,217.57142857142858,-0.6595534008741378,0.6087786255031824
220000,0.9431784,0.0,-0.28711355,0.28546086,0.007936924,0.09780632,0.0002839196,0.24546978,0.14532205,-0.5953468809436474,208.51020408163265,-0.5869167273243269,0.5480998574445645
230000,0.6925014,0.0,-0.26602188,0.26064575,0.00454899,0.09904394,0.0002831297,0.2308747,0.12806946,-0.850603107989411,234.8095238095238,-0.8506032448439371,0.5677767468705064
